primary keyword,secondary keyword,top cluster,page type,content type,funnel stage,persona,proposed url,triangulated priority score
hire healthtech implementation specialist,nearshore implementation specialist healthtech,HealthTech,Role page (industry-specific),Sales/Service landing,BOFU,"VP Customer Success, Head of Services",/industries/healthtech/implementation-specialist/,82
hire tech support (healthtech),nearshore tech support healthtech,HealthTech,Role page (industry-specific),Sales/Service landing,BOFU,"CX Lead, VP Ops (HealthTech)",/industries/healthtech/tech-support/,82
meztal case studies,nearshore team results,Proof & Trust,Hub,Case studies hub,MOFU,All buyer roles,/customers/case-studies/,78
growth marketing teams mexico,nearshore digital marketing mexico,Function Pillars,Function pillar,Pillar page,MOFU,"CMO, Head of Growth",/teams/growth-marketing/,76
people & ops teams mexico,nearshore recruiting mexico,Function Pillars,Function pillar,Pillar page,MOFU,"Head of TA, CHRO",/teams/people-ops/,76
hire associate product manager,nearshore apm mexico,HealthTech,Role page,Sales/Service landing,BOFU,Head of Product,/industries/healthtech/associate-product-manager/,72
hire head of engineering,nearshore vp engineering mexico,HealthTech,Role page,Sales/Service landing,BOFU,"CEO, CTO (HealthTech)",/industries/healthtech/head-of-engineering/,72
meztal testimonials,customer quotes and logos,Proof & Trust,Hub,Testimonials hub,MOFU,All buyer roles,/customers/testimonials/,68
meztal events calendar,cultural observances and company events,Culture & Community,Hub,Calendar,TOFU,"Talent market, Partners",/events/,64
meztal careers,work at meztal,Employer Brand,Careers page,Careers hub,TOFU,Talent market,/careers/,56
meztal culture hub,values team stories,Culture & Community,Hub,Culture hub,TOFU,"Talent market, Partners",/community/,54
mexican constitution day,history traditions mexico,Culture & Community,Guide,Blog/Guide,TOFU,General audience,/culture/mexican-constitution-day/,54
day of the dead,traditions dia de muertos,Culture & Community,Guide,Blog/Guide,TOFU,General audience,/culture/day-of-the-dead/,54
