primary keyword,secondary keyword,top cluster,page type,content type,funnel stage,persona,proposed url,triangulated priority score
nearshore fpa analyst healthtech,fp&a analyst mexico,HealthTech — Finance & Analytics,Role page (industry-specific),Sales/Service landing,BOFU,CFO; Head of FP&A; Finance Director,/industries/healthtech/fpa-analyst/,72
nearshore fpa manager healthtech,fp&a manager mexico,HealthTech — Finance & Analytics,Role page (industry-specific),Sales/Service landing,BOFU,CFO; Head of FP&A; Finance Director,/industries/healthtech/fpa-manager/,72
nearshore staff accountant healthtech,staff accountant mexico,HealthTech — Finance & Analytics,Role page (industry-specific),Sales/Service landing,BOFU,CFO; Head of FP&A; Finance Director,/industries/healthtech/staff-accountant/,72
nearshore treasury analyst healthtech,treasury analyst mexico,HealthTech — Finance & Analytics,Role page (industry-specific),Sales/Service landing,BOFU,CFO; Head of FP&A; Finance Director,/industries/healthtech/treasury-analyst/,72
nearshore business development healthtech,account executive mexico,HealthTech — Growth,Role page (industry-specific),Sales/Service landing,BOFU,CMO; Head of Growth/Marketing,/industries/healthtech/bd-ae-am/,72
nearshore digital marketing specialist healthtech,digital marketing mexico healthtech,HealthTech — Growth,Role page (industry-specific),Sales/Service landing,BOFU,CMO; Head of Growth/Marketing,/industries/healthtech/digital-marketing-specialist/,72
nearshore marketing coordinator healthtech,marketing coordinator mexico,HealthTech — Growth,Role page (industry-specific),Sales/Service landing,BOFU,CMO; Head of Growth/Marketing,/industries/healthtech/marketing-coordinator/,72
nearshore seo content specialist healthtech,seo content mexico,HealthTech — Growth,Role page (industry-specific),Sales/Service landing,BOFU,CMO; Head of Growth/Marketing,/industries/healthtech/seo-content-specialist/,72
nearshore web developer healthtech,web developer mexico,HealthTech — Growth,Role page (industry-specific),Sales/Service landing,BOFU,CMO; Head of Growth/Marketing,/industries/healthtech/web-developer/,72
nearshore associate product manager healthtech,apm mexico healthtech,HealthTech — Product & Engineering,Role page (industry-specific),Sales/Service landing,BOFU,CTO; VP Engineering; Head of Product,/industries/healthtech/associate-product-manager/,72
nearshore database administrator healthtech,db admin mexico,HealthTech — Product & Engineering,Role page (industry-specific),Sales/Service landing,BOFU,CTO; VP Engineering; Head of Product,/industries/healthtech/db-admin/,72
nearshore head of engineering healthtech,vp engineering mexico,HealthTech — Product & Engineering,Role page (industry-specific),Sales/Service landing,BOFU,CTO; VP Engineering; Head of Product,/industries/healthtech/head-of-engineering/,72
nearshore ui ux designer healthtech,ui ux mexico healthtech,HealthTech — Product & Engineering,Role page (industry-specific),Sales/Service landing,BOFU,CTO; VP Engineering; Head of Product,/industries/healthtech/ui-ux-designer/,72
nearshore people & ops healthtech,talent acquisition mexico guadalajara,HealthTech — People & Ops,Function pillar,Pillar page,MOFU,CHRO; Head of TA/People Ops,/industries/healthtech/people-ops/,70
nearshore customer success associate healthtech,csa mexico healthtech,HealthTech — Client Success & Support,Role page (industry-specific),Sales/Service landing,BOFU,VP Customer Success; Head of Support,/industries/healthtech/customer-success-associate/,62
nearshore help desk lead healthtech,help desk lead mexico,HealthTech — Client Success & Support,Role page (industry-specific),Sales/Service landing,BOFU,VP Customer Success; Head of Support,/industries/healthtech/help-desk-lead/,62
nearshore graphic designer healthtech,graphic designer mexico,HealthTech — Growth,Role page (industry-specific),Sales/Service landing,BOFU,CMO; Head of Growth/Marketing,/industries/healthtech/graphic-designer/,62
nearshore market research analyst healthtech,market research mexico,HealthTech — Growth,Role page (industry-specific),Sales/Service landing,BOFU,CMO; Head of Growth/Marketing,/industries/healthtech/market-research-analyst/,62
nearshore hr generalist healthtech,hr generalist mexico,HealthTech — People & Ops,Role page (industry-specific),Sales/Service landing,BOFU,CHRO; Head of TA/People Ops,/industries/healthtech/hr-generalist/,62
nearshore hris admin healthtech,hris admin mexico,HealthTech — People & Ops,Role page (industry-specific),Sales/Service landing,BOFU,CHRO; Head of TA/People Ops,/industries/healthtech/hris-admin/,62
nearshore recruiter healthtech,senior recruiter mexico,HealthTech — People & Ops,Role page (industry-specific),Sales/Service landing,BOFU,CHRO; Head of TA/People Ops,/industries/healthtech/recruiter/,62
nearshore sourcer healthtech,talent sourcer mexico,HealthTech — People & Ops,Role page (industry-specific),Sales/Service landing,BOFU,CHRO; Head of TA/People Ops,/industries/healthtech/sourcer/,62
nearshore talent acquisition lead healthtech,ta lead mexico,HealthTech — People & Ops,Role page (industry-specific),Sales/Service landing,BOFU,CHRO; Head of TA/People Ops,/industries/healthtech/ta-lead/,62
