,uid,source_title,source_link,source_type,file_id / tab_name / row_idx_or_section,content_type,field_key,field_value,related_page_url,recommended_url,priority,status,tags,provenance,evidence_snippet,confidence,author_or_owner,date_found,version_introduced
18,ssot-63790b8082,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 55,Page_Meta,Meta Description,Hire Java Developers in Monterrey. Vetted talent with US time‑zone overlap—MezTal handles HR and payroll so you can scale fast.,/hire/java-developers-monterrey/,/hire/java-developers-monterrey/,,,"Hire, Java, Monterrey",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,meta_description,High,,2025-09-03,v0.6.0
19,ssot-1ac1ee8ed3,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 55,H1,H1,Hire Java Developers in Monterrey,/hire/java-developers-monterrey/,/hire/java-developers-monterrey/,,,"Hire, Java, Monterrey",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,on_page_h1,High,,2025-09-03,v0.6.0
20,ssot-ebb161c297,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 60,URL,recommended_url,/hire/golang-developers-mexico/,/hire/golang-developers-mexico/,/hire/golang-developers-mexico/,,,"Hire, Golang, MX",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,optimized_url,High,,2025-09-03,v0.6.0
21,ssot-d7680c0bef,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 60,Page_Meta,Meta Title,Hire Golang Developers in Mexico | MezTal,/hire/golang-developers-mexico/,/hire/golang-developers-mexico/,,,"Hire, Golang, MX",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,meta_title,High,,2025-09-03,v0.6.0
22,ssot-b9cdaa7e21,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 60,Page_Meta,Meta Description,Hire Golang Developers in Mexico. Vetted talent with US time‑zone overlap—MezTal handles HR and payroll so you can scale fast.,/hire/golang-developers-mexico/,/hire/golang-developers-mexico/,,,"Hire, Golang, MX",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,meta_description,High,,2025-09-03,v0.6.0
23,ssot-ea2cfa7cb8,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 60,H1,H1,Hire Golang Developers in Mexico,/hire/golang-developers-mexico/,/hire/golang-developers-mexico/,,,"Hire, Golang, MX",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,on_page_h1,High,,2025-09-03,v0.6.0
24,ssot-ad5d72dec1,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 62,URL,recommended_url,/services/nearshore-mobile-app-development-mexico/,/services/nearshore-mobile-app-development-mexico/,/services/nearshore-mobile-app-development-mexico/,,,"Service, Mobile App",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,optimized_url,High,,2025-09-03,v0.6.0
25,ssot-4f69a683eb,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 62,Page_Meta,Meta Title,Nearshore Mobile App Development Mexico | MezTal,/services/nearshore-mobile-app-development-mexico/,/services/nearshore-mobile-app-development-mexico/,,,"Service, Mobile App",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,meta_title,High,,2025-09-03,v0.6.0
26,ssot-f1c0d9ae93,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 62,Page_Meta,Meta Description,"Nearshore Mobile App Development Mexico. Hire vetted teams with US time‑zone overlap while MezTal manages HR, payroll, and compliance.",/services/nearshore-mobile-app-development-mexico/,/services/nearshore-mobile-app-development-mexico/,,,"Service, Mobile App",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,meta_description,High,,2025-09-03,v0.6.0
27,ssot-f2cd2981ac,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 62,H1,H1,Nearshore Mobile App Development Mexico,/services/nearshore-mobile-app-development-mexico/,/services/nearshore-mobile-app-development-mexico/,,,"Service, Mobile App",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,on_page_h1,High,,2025-09-03,v0.6.0
28,ssot-96cf51b36a,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 64,URL,recommended_url,/services/nearshore-qa-automation-services-mexico/,/services/nearshore-qa-automation-services-mexico/,/services/nearshore-qa-automation-services-mexico/,,,"Service, QA",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,optimized_url,High,,2025-09-03,v0.6.0
29,ssot-2eec1a70b1,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 64,Page_Meta,Meta Title,Nearshore QA Automation Services Mexico | MezTal,/services/nearshore-qa-automation-services-mexico/,/services/nearshore-qa-automation-services-mexico/,,,"Service, QA",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,meta_title,High,,2025-09-03,v0.6.0
30,ssot-8b1620bcd8,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 64,Page_Meta,Meta Description,"Nearshore QA Automation Services Mexico. Hire vetted teams with US time‑zone overlap while MezTal manages HR, payroll, and compliance.",/services/nearshore-qa-automation-services-mexico/,/services/nearshore-qa-automation-services-mexico/,,,"Service, QA",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,meta_description,High,,2025-09-03,v0.6.0
31,ssot-d4bb4b8afc,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 64,H1,H1,Nearshore QA Automation Services Mexico,/services/nearshore-qa-automation-services-mexico/,/services/nearshore-qa-automation-services-mexico/,,,"Service, QA",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,on_page_h1,High,,2025-09-03,v0.6.0
32,ssot-e3be3cbeac,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 65,URL,recommended_url,/services/nearshore-cloud-engineering-mexico/,/services/nearshore-cloud-engineering-mexico/,/services/nearshore-cloud-engineering-mexico/,,,"Service, Cloud",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,optimized_url,High,,2025-09-03,v0.6.0
33,ssot-2bdee2fe9d,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 65,Page_Meta,Meta Title,Nearshore Cloud Engineering Mexico | MezTal,/services/nearshore-cloud-engineering-mexico/,/services/nearshore-cloud-engineering-mexico/,,,"Service, Cloud",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,meta_title,High,,2025-09-03,v0.6.0
34,ssot-e33e33724a,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 65,Page_Meta,Meta Description,"Nearshore Cloud Engineering Mexico. Hire vetted teams with US time‑zone overlap while MezTal manages HR, payroll, and compliance.",/services/nearshore-cloud-engineering-mexico/,/services/nearshore-cloud-engineering-mexico/,,,"Service, Cloud",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,meta_description,High,,2025-09-03,v0.6.0
35,ssot-2c2bf64ab4,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 65,H1,H1,Nearshore Cloud Engineering Mexico,/services/nearshore-cloud-engineering-mexico/,/services/nearshore-cloud-engineering-mexico/,,,"Service, Cloud",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,on_page_h1,High,,2025-09-03,v0.6.0
