,uid,source_title,source_link,source_type,file_id / tab_name / row_idx_or_section,content_type,field_key,field_value,related_page_url,recommended_url,priority,status,tags,provenance,evidence_snippet,confidence,author_or_owner,date_found,version_introduced
11,ssot-581247418e,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 23,H1,H1,Nearshore vs Offshore,/comparisons/nearshore-vs-offshore/,/comparisons/nearshore-vs-offshore/,,,"Comparison, Strategy",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,on_page_h1,High,,2025-09-03,v0.5.0
12,ssot-fa1274b742,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 23,Metric,SV,590.0,/comparisons/nearshore-vs-offshore/,/comparisons/nearshore-vs-offshore/,,,"Comparison, Strategy",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,sv/kd/cpc,High,,2025-09-03,v0.5.0
13,ssot-6fa48cbe01,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 23,Metric,KD,12.0,/comparisons/nearshore-vs-offshore/,/comparisons/nearshore-vs-offshore/,,,"Comparison, Strategy",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,sv/kd/cpc,High,,2025-09-03,v0.5.0
14,ssot-99997a9fc8,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 23,Metric,CPC_USD,16.07,/comparisons/nearshore-vs-offshore/,/comparisons/nearshore-vs-offshore/,,,"Comparison, Strategy",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,sv/kd/cpc,High,,2025-09-03,v0.5.0
15,ssot-0d1235646f,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 30,URL,recommended_url,/resources/what-is-a-nearshore-staffing-firm-in-mexico/,/resources/what-is-a-nearshore-staffing-firm-in-mexico/,/resources/what-is-a-nearshore-staffing-firm-in-mexico/,,,"Resource, TOFU",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,optimized_url,High,,2025-09-03,v0.5.0
16,ssot-9f483d8af6,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 30,Page_Meta,Meta Title,What Is a Nearshore Staffing Firm in Mexico? | MezTal,/resources/what-is-a-nearshore-staffing-firm-in-mexico/,/resources/what-is-a-nearshore-staffing-firm-in-mexico/,,,"Resource, TOFU",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,meta_title,High,,2025-09-03,v0.5.0
17,ssot-ab77453397,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 30,Page_Meta,Meta Description,"What Is a Nearshore Staffing Firm in Mexico? nearshore staffing definition mexico: hire vetted nearshore talent in Mexico with US overlap while MezTal manages HR, payroll, and compliance.",/resources/what-is-a-nearshore-staffing-firm-in-mexico/,/resources/what-is-a-nearshore-staffing-firm-in-mexico/,,,"Resource, TOFU",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,meta_description,High,,2025-09-03,v0.5.0
18,ssot-82811d4dda,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 30,H1,H1,What Is a Nearshore Staffing Firm in Mexico?,/resources/what-is-a-nearshore-staffing-firm-in-mexico/,/resources/what-is-a-nearshore-staffing-firm-in-mexico/,,,"Resource, TOFU",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,on_page_h1,High,,2025-09-03,v0.5.0
19,ssot-f8197a9d33,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 39,URL,recommended_url,/hire/react-developers-guadalajara/,/hire/react-developers-guadalajara/,/hire/react-developers-guadalajara/,,,"Hire, React, GDL",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,optimized_url,High,,2025-09-03,v0.5.0
20,ssot-9fda1d13ab,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 39,Page_Meta,Meta Title,Hire React Developers in Guadalajara | MezTal,/hire/react-developers-guadalajara/,/hire/react-developers-guadalajara/,,,"Hire, React, GDL",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,meta_title,High,,2025-09-03,v0.5.0
21,ssot-3f1bc14782,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 39,Page_Meta,Meta Description,Hire React Developers in Guadalajara. Vetted talent with US time‑zone overlap—MezTal handles HR and payroll so you can scale fast.,/hire/react-developers-guadalajara/,/hire/react-developers-guadalajara/,,,"Hire, React, GDL",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,meta_description,High,,2025-09-03,v0.5.0
22,ssot-0e2f36b7e7,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master | 39,H1,H1,Hire React Developers in Guadalajara,/hire/react-developers-guadalajara/,/hire/react-developers-guadalajara/,,,"Hire, React, GDL",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,on_page_h1,High,,2025-09-03,v0.5.0
23,ssot-ffea546196,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master,Internal_Link_Rec,Pillar → Services,/nearshore-staffing-firm-mexico/ should link to /services/*,,,High,In-Progress,"Internal_Linking, Pillar",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,governance seeding,High,,2025-09-03,v0.5.0
24,ssot-621c102f3e,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master,Internal_Link_Rec,Pillar → Comparisons,/nearshore-staffing-firm-mexico/ should link to /comparisons/*,,,High,In-Progress,"Internal_Linking, Pillar",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,governance seeding,High,,2025-09-03,v0.5.0
25,ssot-2a930f0958,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master,Internal_Link_Rec,Resource → Services,/resources/mexico-salary-benchmarks-for-nearshore-teams-2025/ should link to /services/nearshore-staffing-services/,,,High,In-Progress,"Internal_Linking, Resource",SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,governance seeding,High,,2025-09-03,v0.5.0
26,ssot-535a4b89d4,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master,301_Rec,Redirect Needed,301 from blank existing_url → /nearshore-staffing-firm-mexico/,,,High,Planned,Redirect_Map,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,governance seeding,High,,2025-09-03,v0.5.0
27,ssot-50c13ce69d,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master,Note,Decision,Always safe route (B),,,High,Done,Decisions_Log,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,governance seeding,High,,2025-09-03,v0.5.0
28,ssot-fff4eccd05,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx,Google Drive,sheet,CMS_Strategy_Master,Note,Decision,"Append-only master, no placeholders",,,High,Done,Decisions_Log,SSOT_active_latest_v15.40-2025-08-30T00-39-16Z.xlsx | CMS_Strategy_Master,governance seeding,High,,2025-09-03,v0.5.0
