"Page","Section","Section Description"
"","Header Section","Page header with title ""Leadership"" and intro text highlighting the executive team's experience and vision."
"","Team Section","Grid of leadership team members with headshots, names, titles, and brief bios."
"","Testimonial Section","Optional: Highlighted leadership philosophy or executive quotes about MezTal’s mission and values."
"","Footer",""
"Trust & Security","Navbar",""
"","Header Section","Page header introducing MezTal’s commitment to security, compliance, and client trust—highlighting SOC2 and HIPAA focus."
"","Feature Section","Detailed explanation of SOC2 compliance: audit scope, processes, ongoing monitoring, and certification status."
"","Feature Section","Overview of HIPAA compliance: data privacy, employee training, and protocols for safeguarding PHI."
"","Features List Section","Security practices list: background checks, secure infrastructure, access controls."
"","Stats Section","Relevant security metrics (e.g., % uptime, incident response time, years of compliance)."
"","Award Logos List Section","Display of SOC2, HIPAA, and any other security/compliance badges or certifications."
"","CTA Section","Prompt to contact MezTal for full compliance documentation or a security review."
"","Footer",""
"Partners","Navbar",""
"","Header Section","Page header introducing MezTal’s partner ecosystem and the value of collaboration."
"","Feature Section","Spotlight on the value of becoming a MezTal referral or channel partner (including key benefits)."
"","Features List Section","List of partnership types: Referral Partners, Technology Alliances, Integration Partners."
"","Logo List Section","Grid of current partners’ logos (optional if available)."
"","CTA Section","Call-to-action to “Become a Partner” or “Refer a Client”—drives to form or contact."
"","Contact Section","Contact info or explainer on next steps for partnership inquiries."
"","Footer",""
"How It Works","Navbar",""
"","Header Section","Page intro explaining MezTal’s streamlined process for clients: “How Nearshore Staffing Works—From Pilot to Success.”"
"","Timeline Section","Step-by-step visual timeline: Discovery → Role Scoping → Candidate Vetting → Onboarding → Ongoing Support"
"","Features List Section","Key process highlights: Dedicated Account Manager, Transparent Communication, Compliance Built-In"
"","How It Works Section","Summary diagram or explainer: “Start Small. Scale Fast. Stay Secure.”"
"","CTA Section","Clear prompt: “Ready to Start Your 90-Day Pilot?” with link to lead form"
"","Footer",""
"Pricing Model","Navbar",""
"","Header Section","Page intro: ""Transparent Cost-Plus Pricing for Nearshore Staffing"" with a brief explanation of the model."
"","Pricing Section","Breakdown of Cost-Plus structure: Base Cost + Transparent Fee; includes visual pricing table or explanation."
"","Pricing Comparison Section","Comparison table: MezTal Cost-Plus vs. traditional staffing models (outsourced, direct hire, etc.)."
"","Features List Section","Key pricing features: No Surprise Fees, Full Transparency, Cancel Anytime."
"","FAQ Section","Frequently asked questions about pricing, invoicing, and contract terms."
"","CTA Section","Call to action: ""Get a Custom Quote"" with button link to Get a Quote page."
"","Footer",""
"Comparison Template","Navbar",""
"","Header Section","Clear page header introducing MezTal vs. Competitor comparison, with context for B2B buyers"
"","Comparison Section","Feature comparison matrix (side-by-side table) with rows: Cost, Vetting, IP, Retention"
"","CTA Section","Call-to-action block encouraging users to start a 90-Day Pilot or get a custom comparison"
"","Footer",""
"Role Landing Template","Navbar",""
"","Hero Header Section","Role-focused hero with clear value proposition, key benefits, and CTA for clients to start hiring talent."
"","Logo List Section","Logo grid of relevant technologies or platforms (""Tech Stack"") associated with this role."
"","Stats Section","Metrics dashboard with a cost savings chart and other role-relevant KPIs."
"","Case Study List Section","Grid of related case studies highlighting successful placements and outcomes for this specific role."
"","Footer",""
"Case Study Template","Navbar",""
"","Case Study Header Section","Client-focused hero with company name, industry, short summary, and featured image"
"","Stats Section","Stats row displaying KPIs (e.g. cost savings, retention, time-to-fill)"
"","Case Study Body Section","Sections for Challenge, Solution, and Result with clear headings and narrative text"
"","Testimonial Section","Highlighted client quote or testimonial related to the project"
"","Footer",""
"Author Profile","Navbar",""
"","Header Section","Header with author’s name and title"
"","Gallery Section","Prominent headshot of the author"
"","About Section","Short bio/introduction of the author"
"","Blog List Section","Grid of ""Articles by Author"" (blog posts written by this author)"
"","Footer",""
"Hire Talent","Navbar",""
"","Header Section","Page title: ""Hire Top Nearshore Talent"", short intro emphasizing MezTal’s risk-free pilot and high-trust process"
"","Features List Section","Key benefits for clients: Speed to fill, Compliance (SOC2/HIPAA), Cost Savings"
"","Stats Section","Supporting metrics: Avg. time-to-fill, retention rate, average client savings"
"","CTA Section","Engaging block: ""Ready to Start? See Candidates in 48 Hours."""
"","Contact Form Section","Lead generation form for clients to submit their hiring needs (fields: Name, Company, Email, Role Needed, Notes)"
"","Footer",""
"Get a Quote","Navbar",""
"","Header Section","Page title and brief intro: ""Request a Custom Staffing Quote – Discover Your Cost Savings and Time-to-Fill Advantage."""
"","CTA Form Section","Multi-step form for collecting company info, staffing needs, and contact details. Prominent CTA: ""Get My Quote"""
"","Stats Section","Mini-dashboard showing sample metrics (Avg. Cost Savings, Time-to-Fill, Retention Rate) to reinforce value."
"","FAQ Section","Address common questions about pricing, process, and next steps."
"","CTA Section","Secondary CTA: ""Book a Consultation"" for those who want to talk directly."
"","Footer",""
"Apply Now","Navbar",""
"","Header Section","Page header introducing candidates to MezTal’s nearshore career opportunities in senior living & healthcare."
"","Application Form Section","Comprehensive candidate application form with personal info, resume upload, and role preferences."
"","Footer",""
"Careers","Navbar",""
"","Header Section","Page title ""Careers at MezTal"" with a brief intro inviting candidates to join a high-trust, innovative team serving senior living & healthcare clients."
"","CTA Form Section","Short blurb and button prompting candidates to ""Apply Now"" (links to candidate application form)."
"","Gallery Section","Photo grid or carousel showcasing MezTal team culture, workspaces (Mexico City, Guadalajara, Monterrey), and virtual collaboration."
"","Job Listings Section","Custom code embed container labeled ""Workable Script"" to display open positions dynamically."
"","FAQ Section","Frequently asked questions about working at MezTal (application process, remote policy, benefits, etc.)"
"","Footer",""
"Social Hub","Navbar",""
"","Header Section","Page title ""Social Hub"" with brief intro: ""See what we're sharing and who we're celebrating in our community."""
"","Gallery Section","Optional: Space for curated social media highlights or event photos (if desired)."
"","Footer",""
