"","Hero Header Section","Dynamic hero with H1: ""[Role Title]"". Subhead: ""Hire pre-vetted [Role] in your time zone."" Primary CTA: ""Get a Quote"" (routes to /get-a-quote)."
"","Header Section","Intro paragraph: Brief summary of why hiring [Role] nearshore with MezTal delivers value for US teams."
"","Feature Section","Value Proposition: ""Why Hire [Role] Nearshore?"" with rich text, tailored to the specific role (SEO-optimized)."
"","Features List Section","Skill Tags: Dynamic, visually grouped tags (e.g., Yardi, React, AWS, PointClickCare) displaying relevant tech/systems for the [Role]."
"","Comparison Section","Cost Efficiency Bar Chart: Visual comparison of ""US Cost"" vs. ""MezTal Efficiency"" for [Role]."
"","Customer Logos List Section","Trusted by: Row of client logos who have hired this role (dynamic)."
"","Portfolio List Section","Related Roles: ""Companies who hired [Role] also hired..."" (CMS-driven grid of related roles with quick-link cards)."
"","Case Study List Section","Featured Case Study: Highlighted case study relevant to this role (with logo, headline, CTA to full case study)."
"","CTA Section","Persistent call-to-action: ""Ready to hire your next [Role]? Get a Quote Today."" (routes to /get-a-quote)."
"","Footer",""
"Industries","Navbar",""
"","Header Section","Page title ""Industries We Serve"" with subheading: ""Specialized nearshore teams for your sector's unique challenges."""
"","Features List Section","Three-column features list: ""Regulatory Compliance Experts"", ""Role-Specific Talent Pools"", ""US Time Zone Integration""."
"","Stats Section","Key industry stats (e.g., # of clients per sector, avg. days to hire, retention rates)."
"","Portfolio List Section","Vertical iconographic list of industries, each linking to a sector detail or anchor: Senior Living, Healthcare, FinTech, Real Estate, SaaS, Retail, PropTech, and more."
"","Feature Section","Highlight ""Senior Living"": Pain points addressed, typical roles placed, client testimonial snippet, and ""See Case Study"" CTA."
"","Feature Section","Highlight ""Healthcare"": Pain points addressed, typical roles placed, client testimonial snippet, and ""See Case Study"" CTA."
"","Feature Section","Highlight ""FinTech"": Pain points addressed, typical roles placed, client testimonial snippet, and ""See Case Study"" CTA."
"","CTA Section","Banner: ""Not seeing your industry? Talk to our team about custom staffing solutions."" Button to /hire-talent."
"","Footer",""
"Why Mexico","Navbar",""
"","Header Section","Page header with headline: ""Why Mexico is the #1 Nearshore Talent Destination"" and subhead highlighting proximity, tech ecosystem, and business alignment."
"","How It Works Section","Overview: ""How Nearshoring to Mexico Works""—steps from needs assessment to onboarding, focused on simplicity and compliance."
"","Timeline Section","Visual timeline: ""A Century of US-Mexico Tech Collaboration""—from early partnerships to present-day innovation hubs."
"","Gallery Section","Interactive map visual with glassmorphism overlay, highlighting Guadalajara (GDL), Mexico City (CDMX), and Monterrey (MTY) with clickable city cards."
"","Stats Section","Key stats: English proficiency, STEM graduates per year, time zone overlap with US, Fortune 500 presence."
"","Feature Section","Feature block: ""Cultural & Work Ethic Alignment""—emphasize business culture, communication, and team integration."
"","Feature Section","Feature block: ""Data Security & Compliance""—SOC2, HIPAA, and US data residency standards."
"","Features List Section","Three-point list: ""Cost Efficiency"", ""Talent Depth"", ""Flight Time: <3hrs from US Hubs""."
"","CTA Section","Call-to-action: ""Explore Our Talent Network"" with button linking to /locations."
"","FAQ Section","Top 3 FAQs: Visas & legal, English proficiency, timezone alignment."
"","Footer",""
"Locations","Navbar",""
"","Header Section","Page title: ""Explore Top Tech Hubs in Latin America"". Subhead: ""Discover where MezTal’s pre-vetted talent thrives—strategically located for US collaboration."""
"","Gallery Section","High-quality, glassmorphic image grid featuring hero urban shots for Guadalajara, Mexico City, Monterrey. Each image is clickable to its city detail page."
"","Stats Section","Row of MezTal’s LatAm presence metrics: ""# of Cities"", ""Median Talent Experience"", ""English Proficiency"", ""Direct Flights to US""."
"","Locations Section","Interactive map of LatAm highlighting MezTal’s 3 key cities. Each hotspot links to /locations/[city] detail page."
"","Features List Section","Three-point feature list: ""Same US Time Zones"", ""Leading University Ecosystems"", ""Strong Corporate Compliance Culture""."
"","CTA Section","Call-to-action: ""See Top Talent in Your Preferred City"" with button linking to /hire-talent."
"","FAQ Section","Accordion: location-specific hiring, local compliance, and English proficiency."
"","Footer",""
"Location Detail","Navbar",""
"","Hero Header Section","Hero with high-quality urban photography of the featured city, city name overlay, and subhead: ""Discover [City], the Tech Hub of Latin America."""
"","Header Section","Brief intro: Why US firms are choosing [City] for nearshore staffing."
"","Stats Section","4-column data grid: Population, Number of Universities, Time Zone (CST), Flight Time to US."
"","Feature Section","Narrative: ""Why [City] is the Tech Hub of Latin America""—highlighting ecosystem, talent, and business climate."
"","Portfolio List Section","Dynamic grid: ""Top Roles Available in [City]""—reference cards linking to relevant Role Landing pages."
"","CTA Section","Engaging bar: ""Ready to hire elite talent from [City]? Get a Quote."" Button links to /get-a-quote."
"","FAQ Section","City-specific FAQs: local labor laws, English proficiency, cultural fit, infrastructure, and data security."
"","Customer Logos List Section","Trusted by logos—companies hiring from this location."
"","Footer",""
"Comparison Hub","Navbar",""
"","Header Section","Headline: ""How MezTal Compares"" with subheading: ""See how we stack up against traditional outsourcing, freelancing platforms, and major nearshore competitors."" Visual: glassmorphism overlay with subtle cityscape background."
"","Features List Section","Three columns: ""Cost Transparency"", ""Compliance & Security"", ""Retention & Quality"". Each with a brief description and icon."
"","Comparison Section","Interactive matrix/table preview comparing MezTal to: Offshore BPOs, Freelance Marketplaces, and Other Nearshore Firms. Key columns: Pricing, Vetting, IP Protection, Retention. Each row links out to its respective Comparison Detail page (e.g., /comparison/meztal-vs-upwork)."
"","Testimonial Section","Slider of short client testimonials focused on why they chose MezTal over others."
"","CTA Section","Banner: ""Ready for the honest comparison? Dive deeper or start hiring now."" CTAs: ""See All Comparisons"" and ""Start Hiring"" (links to /hire-talent)."
"","Footer",""
"Comparison Detail","Navbar",""
"","Hero Header Section","Striking hero: ""[Entity A] vs. [Entity B]: The Honest Review."" Brief subhead clarifies the focus (e.g., Nearshore vs Offshore Staffing)."
"","Comparison Section","Responsive, scrollable matrix table comparing MezTal and competitor(s) across key criteria: Cost Model, Vetting Depth, IP Protection, Retention Rate, and more."
"","Pricing Comparison Section","Visual bar or chart illustrating ""US Cost"" vs ""MezTal Efficiency"" for quick at-a-glance differentiation."
"","Benefits Section","Highlight 3 top advantages MezTal offers over the competitor (e.g., Same Time Zone, Compliance, Dedicated Account Management)."
"","CTA Section","Prominent action: ""See How MezTal Compares – Get a Custom Quote"" leading to /get-a-quote."
"","Header Section","Brief intro: ""Why leading US companies choose MezTal for secure, efficient nearshore staffing."""
"","Testimonial Section","Client quote reinforcing MezTal’s strengths vs. the competitor."
"","Features List Section","List of unique MezTal differentiators (e.g., English fluency, IP protection guarantees, direct US invoicing)."
"","Benefits Section","""The Bottom Line"" block: Summarizes why MezTal wins for compliance, speed, and value."
"","FAQ Section","Top 3-5 comparison-related FAQs (e.g., ""What makes MezTal more compliant?"", ""How is retention measured?"")."
"","Updates List Section","Latest resources or blog posts about industry comparisons and best practices."
"","Footer",""
"Case Studies","Navbar",""
"","Header Section","Headline: ""Enterprise Results. MezTal Success Stories."" Subhead: ""See how US companies scaled with nearshore talent."" High-trust, modern hero imagery (office/team, glassmorphism effect)."
"","Featured Case Study List Header Section","Curated row of 3 high-impact case studies with client logos, quick stats (roles filled, cost savings), and ""Read Story"" CTAs."
"","Case Study List Section","Grid or list of all case studies, filterable by department (IT, Finance, Operations) and industry (Senior Living, Healthcare, FinTech), each card showing client logo, title, and summary."
"","Testimonial Section","Rotating slider of decision-maker quotes from case studies, with name, title, company logo."
"","CTA Section","Bottom bar: ""Ready for similar results? Start Hiring with MezTal."" CTA button to /hire-talent."
"","Footer",""
"Case Study","Navbar",""
"","Case Study Header Section","Client logo, headline (""How [Client] Scaled [Department] with MezTal""), and a concise summary of the engagement."
"","Stats Section","KPI bar with 3 prominent metrics: ""Cost Savings %"", ""Days to Hire"", and ""Roles Filled""."
"","Case Study Body Section","Three-column story arc: The Challenge → The Solution → The Result, each with supporting narrative and visuals."
"","Testimonial Section","Large, high-trust blockquote from the client decision-maker, including name, title, and company."
"","CTA Section","Branded call-to-action: ""Want to achieve similar results? Start Hiring Today"" with button to /hire-talent."
"","Case Study List Section","Grid or carousel of related case studies for further proof and engagement."
"","Footer",""
"Resources","Navbar",""
"","Header Section","Page header with headline ""Insights & Resources for Scaling Teams"", subhead focused on US companies hiring LatAm talent, and resource search/filter bar."
"","Resources List Section","Grid/list of downloadable guides, whitepapers, checklists, and playbooks (filterable by topic: Compliance, Hiring, Vetting, Remote Management, etc.)."
"","Featured Blog List Header Section","Horizontal slider of featured blog articles related to hiring trends, compliance, and LatAm market insights."
"","Featured Resources List Header Section","Prominent callout for “Must-Read” resources (e.g., “2024 Guide to Nearshore Staffing” PDF)."
"","FAQ Section","Resource-specific FAQs: “How do I access guides?”, “Are resources free?”, “Can I share with my team?”."
"","Newsletter Section","Signup: “Stay ahead with LatAm talent insights—join our newsletter.”"
"","Footer",""
"Blog Post","Navbar",""
"","Blog Post Header Section","Article headline, author byline, published date, category tags, and hero image with glassmorphism overlay."
"","Blog Post Body Section","Main content area with clean, readable typography, rich media (images, code blocks, pull quotes), and internal links to relevant Roles, Locations, and Case Studies."
"","Newsletter Section","Embedded email signup: “Get the latest on LatAm talent, hiring trends, and MezTal updates.”"
"","Blog List Section","Related articles grid: “You might also like…” with 3-4 dynamically pulled posts by topic or author."
"","Footer",""
"Author","Navbar",""
"","Header Section","Profile header with circular headshot, name, title, short bio, and LinkedIn button."
"","Blog List Section","Grid of ""Latest Articles by [Name]"", dynamically pulled from CMS."
"","Footer",""
"Company","Navbar",""
"","Header Section","Introductory section: ""About MezTal – Bridging Silicon Valley Precision & Latin American Talent"" with a modern glassmorphic visual, subheadline, and brief value statement."
"","About Section","Narrative: MezTal’s mission, vision, and the story behind founding (US-LatAm connection, high-trust B2B focus)."
"","Team Section","Grid of leadership team: headshots, names, titles, and LinkedIn links."
"","Award Logos List Section","Row of awards, certifications, and compliance badges (SOC2, HIPAA, etc.) for credibility."
"","Client Logos List Section","Trusted by: grid of recognizable US client logos (with hover effect for short testimonials)."
"","Timeline Section","""Our Journey"": Key milestones from founding to present (yearly highlights: expansion, major clients, certifications)."
"","Locations Section","Interactive mini-map and list of MezTal’s key LatAm offices (GDL, CDMX, MTY) with quick facts."
"","FAQ Section","Accordion: ""About MezTal"" questions (leadership, company values, compliance, locations, hiring process)."
"","CTA Section","""Ready to work with the MezTal team?"" – prominent CTA bar with button to /hire-talent."
"","Footer",""
"Careers","Navbar",""
"","Header Section","Page title: ""Grow Your Career with MezTal."" Subhead: ""Work with top US companies, from right here in Latin America."""
"","Benefits Section","Grid or cards highlighting key benefits: Remote-first, US-dollar salaries, Professional growth, Health & wellness perks, Learning stipends, Cultural exchange."
"","Contact Section","Short intro: ""Have questions before applying? Reach out to our Talent Team."""
"","Footer",""
"Social Hub","Navbar",""
"","Header Section","Page title: ""Social Hub"". Subhead: ""See what’s happening at MezTal and connect with our community."""
"","Gallery Section","Grid with selected images from team events, webinars, and community moments (high-tech office vibe)."
"","CTA Section","Prompt: ""Follow MezTal on LinkedIn for the latest news and thought leadership."" CTA Button: ""Connect on LinkedIn""."
"","Contact Section","Brief contact prompt: ""Want to collaborate or feature MezTal? Let’s talk."""
"","FAQ Section","Mini-accordion: ""How often do you post?"", ""What content do you share?"", ""How can I get featured?"""
"","Footer",""
"Hire Talent","Navbar",""
"","Header Section","Page title: ""Start Hiring Elite Nearshore Talent"" with a concise, trust-building subtitle. Visual: Glassmorphic overlay with US+LatAm tech office imagery. CTA: Scroll to form."
"","Features List Section","Three key features: ""Pre-vetted Talent Pool,"" ""US Time Zone Alignment,"" ""Enterprise-Grade Compliance."""
"","Pricing Section","Transparent overview of MezTal's pricing approach. Visual: cost comparison with typical US staffing."
"","How It Works Section","Step-by-step process: 1) Define Your Needs, 2) Get Matched within Days, 3) Interview & Onboard."
"","Testimonial Section","Featured client testimonial from a CTO/CFO, with photo and company logo, emphasizing speed & quality."
"","Contact Form Section","High-converting form: ""Tell us about your hiring needs."" Fields: Name, Company, Role(s) Needed, Email, Phone, Message."
"","FAQ Section","Accordion with top 5 hiring-related FAQs: vetting, time zones, compliance, start timelines, guarantees."
"","CTA Section","End-of-page CTA: ""Need a quote for a specific role? Get a fast response from our team."" Button links to /get-a-quote."
"","Footer",""
"Get a Quote","Navbar",""
"","Header Section","Clean, glassmorphic header: ""Get a Custom Nearshore Staffing Quote"" with subhead, ""Tell us your needs—receive a proposal in 24 hours."""
"","Features List Section","Three key points: ""Transparent Pricing"", ""Role & Skill Customization"", ""Dedicated Account Manager""."
"","Pricing Section","Visual summary: Pricing tiers or sample rates by role type (IT, Finance, HR), with note on cost efficiency vs. US staffing."
"","CTA Form Section","Prominent multi-step quote request form: Company, Roles Needed, Timeline, Estimated Headcount, Contact. Submit routes to Thank You page."
"","Testimonial Section","Short quote from a US client: ""The MezTal team delivered top-tier talent at a fraction of our previous costs."""
"","FAQ Section","Accordion: ""How fast can I get a quote?"", ""Is there a minimum commitment?"", ""What if I need multiple roles?"""
"","Newsletter Section","Optional: ""Stay updated on LatAm staffing trends. Subscribe for insights."""
"","Footer",""
"Thank You","Navbar",""
"","Header Section","Minimalist centered header: ""Thank You – Request Received."""
"","CTA Section","Message: ""We will contact you within 24 hours."" Prominent button: ""Read the Blog"" (links to /resources or /blog)."
"","Newsletter Section","Optional: Subtle email signup below, ""Get updates on LatAm hiring trends."""
"","Footer",""
"Page","Section","Section Description"
"Home"
